rows=4035
cols=3018
(0, 324, 1186)
(0, 934, 546)
(0, 2619, -1890)
(1, 30, -2004)
(1, 136, -398)
(1, 167, -1086)
(1, 190, -1954)
(1, 194, -1728)
(1, 227, 1606)
(1, 231, -1464)
(1, 331, -1608)
(1, 400, -1028)
(1, 405, -1726)
(1, 415, 1084)
(1, 433, -1910)
(1, 476, 680)
(1, 507, -1296)
(1, 526, -1334)
(1, 577, 286)
(1, 602, -1780)
(1, 616, -1776)
(1, 631, -1468)
(1, 632, 1900)
(1, 691, -1798)
(1, 780, -1688)
(1, 805, -1688)
(1, 806, -1612)
(1, 816, 810)
(1, 874, -1656)
(1, 879, -1656)
(1, 926, -1890)
(1, 944, -1458)
(1, 946, 2000)
(1, 1027, 1506)
(1, 1029, -2010)
(1, 1049, 1846)
(1, 1061, -1164)
(1, 1100, -1666)
(1, 1102, -1734)
(1, 1121, -768)
(1, 1134, -1368)
(1, 1162, -816)
(1, 1172, -1384)
(1, 1222, -1504)
(1, 1226, -1702)
(1, 1229, -2032)
(1, 1261, -234)
(1, 1276, -1916)
(1, 1282, -1854)
(1, 1341, -1144)
(1, 1381, -1616)
(1, 1429, -1762)
(1, 1464, -230)
(1, 1466, 732)
(1, 1478, -1938)
(1, 1480, -364)
(1, 1521, 1370)
(1, 1559, 1802)
(1, 1627, 662)
(1, 1831, -1832)
(1, 1838, -1564)
(1, 1993, -2044)
(1, 2005, 1352)
(1, 2065, -1336)
(1, 2575, -1968)
(1, 2676, -370)
(1, 2883, 1432)
(1, 2889, -646)
(1, 2920, -1408)
(1, 2980, -2000)
(2, 46, -1446)
(2, 516, -2014)
(2, 635, -1158)
(2, 982, 1936)
(2, 1218, 548)
(2, 1226, -1266)
(2, 1475, 1472)
(2, 2150, 1518)
(2, 2205, -1972)
(2, 2932, -1508)
(3, 9, 1482)
(3, 31, -1634)
(3, 34, -48)
(3, 60, 68)
(3, 135, -106)
(3, 156, -1608)
(3, 182, -368)
(3, 190, -1738)
(3, 238, -368)
(3, 283, -1152)
(3, 303, 200)
(3, 305, -734)
(3, 313, -1030)
(3, 319, -1864)
(3, 343, -1890)
(3, 357, -482)
(3, 372, -1716)
(3, 375, 882)
(3, 389, 924)
(3, 406, -1636)
(3, 416, 1342)
(3, 443, -894)
(3, 448, 164)
(3, 484, -1126)
(3, 499, -1180)
(3, 517, -1374)
(3, 548, -1484)
(3, 585, -828)
(3, 600, -1448)
(3, 633, -1700)
(3, 640, -2014)
(3, 648, -1106)
(3, 656, 1372)
(3, 665, -1112)
(3, 719, -366)
(3, 751, -1194)
(3, 774, -1190)
(3, 793, -1598)
(3, 802, -1798)
(3, 814, -1908)
(3, 825, 1216)
(3, 848, -1960)
(3, 867, 1050)
(3, 919, -1092)
(3, 936, -810)
(3, 940, 2000)
(3, 978, -1940)
(3, 999, -76)
(3, 1040, -1452)
(3, 1052, 1654)
(3, 1055, -1164)
(3, 1082, -1152)
(3, 1086, -1158)
(3, 1104, -166)
(3, 1111, -1210)
(3, 1131, -1056)
(3, 1146, -1372)
(3, 1154, -1456)
(3, 1178, 1576)
(3, 1208, -1806)
(3, 1223, -1876)
(3, 1242, -1618)
(3, 1270, -1328)
(3, 1294, -1996)
(3, 1410, 1766)
(3, 1441, 1766)
(3, 1463, 1714)
(3, 1542, -1462)
(3, 1602, -1662)
(3, 1751, -1502)
(3, 1878, -1664)
(3, 1891, 1910)
(3, 1924, -1884)
(3, 1962, -2030)
(3, 2033, -72)
(3, 2046, -1236)
(3, 2059, 1256)
(3, 2082, -1654)
(3, 2094, -1906)
(3, 2152, -1350)
(3, 2190, 1100)
(3, 2401, 532)
(3, 2573, -1424)
(3, 2817, -2040)
(3, 2837, 1884)
(3, 3016, -1032)
(4, 8, -1378)
(4, 14, -1154)
(4, 25, -1758)
(4, 97, 1150)
(4, 186, -1942)
(4, 245, 316)
(4, 398, -1754)
(4, 408, -1978)
(4, 485, -1348)
(4, 505, -1792)
(4, 517, 512)
(4, 568, -1660)
(4, 573, -1522)
(4, 585, 1374)
(4, 590, -324)
(4, 677, -1342)
(4, 721, 1476)
(4, 759, -1206)
(4, 779, 364)
(4, 800, -930)
(4, 899, -980)
(4, 961, -1660)
(4, 999, 1624)
(4, 1095, -1334)
(4, 1244, 604)
(4, 1253, -980)
(4, 1491, 1884)
(4, 1498, -1318)
(4, 1631, -1116)
(4, 1638, -1410)
(4, 1908, -1538)
(4, 1913, -1368)
(4, 2131, -1028)
(4, 2277, -1446)
(4, 2300, -1058)
(4, 2396, -1630)
(4, 2451, -1376)
(4, 2565, 1466)
(4, 2775, -1344)
(4, 2872, -388)
(4, 2906, -1602)
(4, 2946, -1178)
(5, 29, -484)
(5, 396, 1410)
(5, 401, 822)
(5, 430, 1320)
(5, 475, -1010)
(5, 487, 534)
(5, 514, 472)
(5, 604, 1028)
(5, 650, -1820)
(5, 847, -1244)
(5, 1245, -1154)
(5, 1272, -1862)
(5, 1292, -1034)
(5, 1590, -2036)
(5, 1615, 1006)
(5, 1922, -1616)
(5, 2058, -1748)
(5, 2089, -1710)
(5, 2189, 26)
(5, 2243, 1970)
(5, 2565, 1524)
(5, 2652, -1800)
(6, 40, 1908)
(6, 132, -1550)
(6, 135, 962)
(6, 168, -1328)
(6, 218, 1024)
(6, 249, -1074)
(6, 282, 890)
(6, 293, -1954)
(6, 480, 438)
(6, 494, 1244)
(6, 515, -1502)
(6, 577, 66)
(6, 583, -1106)
(6, 829, -1434)
(6, 903, -1320)
(6, 935, -2040)
(6, 958, -778)
(6, 1000, 1426)
(6, 1065, -1126)
(6, 1220, -1580)
(6, 1221, 1072)
(6, 1232, -1206)
(6, 1276, -1842)
(6, 1280, -1574)
(6, 1415, -920)
(6, 1578, -1678)
(6, 1849, -1398)
(6, 2112, -1418)
(6, 2389, 1558)
(6, 2848, 1474)
(6, 3012, -1522)
(7, 45, -1688)
(7, 123, -1134)
(7, 133, -1318)
(7, 138, -1714)
(7, 164, -1038)
(7, 199, -1210)
(7, 215, -1112)
(7, 230, -1672)
(7, 246, 1130)
(7, 371, 1960)
(7, 374, -1518)
(7, 435, 1672)
(7, 467, 886)
(7, 537, -1682)
(7, 555, -1224)
(7, 556, -1366)
(7, 572, -1612)
(7, 593, -1046)
(7, 597, -1736)
(7, 622, -1272)
(7, 626, -1842)
(7, 650, 1048)
(7, 663, -1444)
(7, 850, -2026)
(7, 962, -1430)
(7, 1053, -2040)
(7, 1073, -1524)
(7, 1096, -1622)
(7, 1097, -1852)
(7, 1099, 1460)
(7, 1196, -436)
(7, 1317, -1222)
(7, 1425, 1792)
(7, 1452, 1216)
(7, 1547, -1862)
(7, 1598, -1796)
(7, 1724, -2046)
(7, 1798, -1396)
(7, 1803, -1410)
(7, 1899, -1048)
(7, 1960, -1766)
(7, 2049, -1578)
(7, 2353, -1292)
(7, 2799, -1644)
(7, 2907, 1174)
(7, 2944, -1380)
(7, 2965, -584)
(7, 2987, -2044)
(8, 9, -446)
(8, 59, -1102)
(8, 66, -1926)
(8, 73, -1188)
(8, 113, -1540)
(8, 124, -180)
(8, 137, -120)
(8, 139, -1096)
(8, 143, -818)
(8, 149, -1946)
(8, 166, 942)
(8, 172, 50)
(8, 185, -2026)
(8, 231, 182)
(8, 237, 1794)
(8, 253, -1572)
(8, 258, -1934)
(8, 415, -1092)
(8, 418, 964)
(8, 425, -1720)
(8, 451, -1774)
(8, 468, -1076)
(8, 480, 682)
(8, 483, -1524)
(8, 523, -338)
(8, 564, -1138)
(8, 585, -1530)
(8, 591, -1374)
(8, 592, -1240)
(8, 630, -1176)
(8, 663, 456)
(8, 694, -1514)
(8, 696, -748)
